RecordNumber,Zipcode,City,State
41224,96101,ALTURAS,CA
41225,96101,ALTURAS RANCHERIA,CA
41226,96101,CALIFORNIA PINES,CA
41227,96101,XL RANCH INDIAN RESERVATION,CA
41228,96103,BLAIRSDEN-GRAEAGLE,CA
41229,96103,BLAIRSDEN,CA
41230,96103,BLRSDN-GREAGL,CA
41231,96103,CROMBERG,CA
41232,96103,GRAEAGLE,CA
41233,96103,JOHNSVILLE,CA
41234,96140,CARNELIAN BAY,CA
41235,96140,AGATE BAY,CA
41236,96140,CEDAR FLAT,CA
41237,96140,FLICK POINT,CA
41238,96140,FULTON ACRES,CA
41239,96140,RIDGEWOOD,CA
41240,96104,CEDARVILLE,CA
41241,96105,CHILCOOT,CA
41242,96106,CLIO,CA
41243,96107,COLEVILLE,CA
41244,96107,WALKER,CA
41245,96108,DAVIS CREEK,CA
41246,96108,WILLOW RANCH,CA
41247,96109,DOYLE,CA
41248,96110,EAGLEVILLE,CA
41249,96111,FLORISTON,CA
41250,96112,FORT BIDWELL,CA
41251,96112,FT BIDWELL,CA
41252,96113,HERLONG,CA
41253,96113,PATTON VILLAGE,CA
41254,96113,SIERRA ARMY DEPOT,CA
41255,96141,HOMEWOOD,CA
41256,96141,TAHOE PINES,CA
41257,96142,TAHOMA,CA
41258,96142,MEEKS BAY,CA
41259,96142,RUBICON BAY,CA
41260,96114,JANESVILLE,CA
41261,96136,WENDEL,CA
41262,96143,KINGS BEACH,CA
41263,96143,BROCKWAY,CA
41264,96115,LAKE CITY,CA
41265,96116,LIKELY,CA
41266,96117,LITCHFIELD,CA
41267,96118,LOYALTON,CA
41268,96119,MADELINE,CA
41269,96120,MARKLEEVILLE,CA
41270,96120,HOPE VALLEY,CA
41271,96120,CRYSTAL SPRINGS,CA
41272,96120,EMIGRANT TRAIL,CA
41273,96120,FREDRICKSBURG,CA
41274,96120,MESA VISTA,CA
41275,96120,WOODFORDS,CA
41276,96121,MILFORD,CA
41277,96122,PORTOLA,CA
41278,96122,DELLEKER,CA
41279,96129,BECKWOURTH,CA
41280,96129,PORTOLA,CA
41281,96123,RAVENDALE,CA
41282,96132,TERMO,CA
41283,96124,CALPINE,CA
41284,96124,SATTLEY,CA
41285,96125,SIERRA CITY,CA
41286,96125,BASSETTS,CA
41287,96126,SIERRAVILLE,CA
41288,96150,SOUTH LAKE TAHOE,CA
41289,96150,S LAKE TAHOE,CA
41290,96151,SOUTH LAKE TAHOE,CA
41291,96151,FALLEN LEAF,CA
41292,96151,S LAKE TAHOE,CA
41293,96152,SOUTH LAKE TAHOE,CA
41294,96152,S LAKE TAHOE,CA
41295,96154,SOUTH LAKE TAHOE,CA
41296,96154,S LAKE TAHOE,CA
41297,96155,SOUTH LAKE TAHOE,CA
41298,96155,S LAKE TAHOE,CA
41299,96155,MEYERS,CA
41300,96155,TAHOE PARADISE,CA
41301,96156,SOUTH LAKE TAHOE,CA
41302,96156,S LAKE TAHOE,CA
41303,96156,BIJOU,CA
41304,96156,CAMP RICHARDSON,CA
41305,96157,SOUTH LAKE TAHOE,CA
41306,96157,S LAKE TAHOE,CA
41307,96157,STATELINE,CA
41308,96158,SOUTH LAKE TAHOE,CA
41309,96158,S LAKE TAHOE,CA
41310,96158,TAHOE VALLEY,CA
41311,96128,STANDISH,CA
41312,96127,SUSANVILLE,CA
41313,96130,SUSANVILLE,CA
41314,96130,CALIFORNIA CONSERVATION CENT,CA
41315,96130,EAGLE LAKE RESORT,CA
41316,96130,JOHNSTONVILLE,CA
41317,96130,SPAULDING,CA
41318,96145,TAHOE CITY,CA
41319,96145,ALPINE MDWS,CA
41320,96145,ALPINE MEADOWS,CA
41321,96146,OLYMPIC VALLEY,CA
41322,96146,ALPINE MDWS,CA
41323,96146,ALPINE MEADOWS,CA
41324,96146,OLYMPIC VLY,CA
41325,96146,TAHOE CITY,CA
41326,96148,TAHOE VISTA,CA
41327,96133,TOPAZ,CA
41328,96160,TRUCKEE,CA
41329,96161,TRUCKEE,CA
41330,96161,NORTHSTAR,CA
41331,96161,BOCA,CA
41332,96161,DONNER LAKE,CA
41333,96161,GLENSHIRE,CA
41334,96161,HOBART MILLS,CA
41335,96161,PROSSER LAKEVIEW,CA
41336,96161,TAHOE DONNER,CA
41337,96162,TRUCKEE,CA
41338,96162,DONNER,CA
41339,96162,WEST TRUCKEE,CA
41340,96134,TULELAKE,CA
41341,96134,NEWELL,CA
41342,96134,TIONESTA,CA
41343,96134,LAVA BEDS NATIONAL MONUMENT,CA
41344,96134,MEDICINE LAKE LODGE,CA
41345,96135,VINTON,CA
41346,96137,WESTWOOD,CA
41347,96137,LAKE ALMANOR,CA
41348,96137,CLEAR CREEK,CA
41349,96137,LAKE ALMANOR SPORTS & SPIRIT,CA
44648,90201,BELL GARDENS,CA
44649,90201,BELL,CA
44650,90201,CUDAHY,CA
44651,90202,BELL,CA
44652,90202,BELL GARDENS,CA
44653,90270,MAYWOOD,CA
44654,90270,BELL GARDENS,CA
44655,90209,BEVERLY HILLS,CA
44656,90210,BEVERLY HILLS,CA
44657,90211,BEVERLY HILLS,CA
44658,90212,BEVERLY HILLS,CA
44659,90213,BEVERLY HILLS,CA
44660,90220,COMPTON,CA
44661,90220,CRYSTAL CITY,CA
44662,90220,RANCHO DOMINGUEZ,CA
44663,90220,RNCHO DOMINGZ,CA
44664,90221,COMPTON,CA
44665,90221,E RNCHO DMNGZ,CA
44666,90221,EAST RANCHO DOMINGUEZ,CA
44667,90222,COMPTON,CA
44668,90222,ROSEWOOD,CA
44669,90223,COMPTON,CA
44670,90224,COMPTON,CA
44671,90224,RANCHO DOMINGUEZ,CA
44672,90224,RNCHO DOMINGZ,CA
44673,90230,CULVER CITY,CA
44674,90230,LOS ANGELES,CA
44675,90231,CULVER CITY,CA
44676,90232,CULVER CITY,CA
44677,90233,CULVER CITY,CA
44678,90239,DOWNEY,CA
44679,90240,DOWNEY,CA
44680,90241,DOWNEY,CA
44681,90242,DOWNEY,CA
44682,90245,EL SEGUNDO,CA
44683,90247,GARDENA,CA
44684,90248,GARDENA,CA
44685,90249,GARDENA,CA
44686,90250,HAWTHORNE,CA
44687,90250,HOLLY PARK,CA
44688,90250,HOLLYGLEN,CA
44689,90251,HAWTHORNE,CA
44690,90255,HUNTINGTON PARK,CA
44691,90255,HUNTINGTON PK,CA
44692,90255,WALNUT PARK,CA
44693,90301,INGLEWOOD,CA
44694,90302,INGLEWOOD,CA
44695,90303,INGLEWOOD,CA
44696,90304,INGLEWOOD,CA
44697,90304,LENNOX,CA
44698,90305,INGLEWOOD,CA
44699,90306,INGLEWOOD,CA
44700,90307,INGLEWOOD,CA
44701,90308,INGLEWOOD,CA
44702,90309,INGLEWOOD,CA
44703,90310,INGLEWOOD,CA
44704,90311,INGLEWOOD,CA
44705,90312,INGLEWOOD,CA
44706,90260,LAWNDALE,CA
44707,90261,LAWNDALE,CA
44708,90001,LOS ANGELES,CA
44709,90001,FIRESTONE PARK,CA
44710,90001,FIRESTONE PK,CA
44711,90002,LOS ANGELES,CA
44712,90002,AUGUST F. HAW,CA
44713,90002,WATTS,CA
44714,90003,LOS ANGELES,CA
44715,90003,BROADWAY MANCHESTER,CA
44716,90004,LOS ANGELES,CA
44717,90004,OAKWOOD,CA
44718,90005,LOS ANGELES,CA
44719,90005,SANFORD,CA
44720,90006,LOS ANGELES,CA
44721,90006,PICO HEIGHTS,CA
44722,90007,LOS ANGELES,CA
44723,90007,DOCKWEILER,CA
44724,90008,LOS ANGELES,CA
44725,90008,BALDWIN HILLS,CA
44726,90008,LEIMERT PARK,CA
44727,90008,CRENSHAW,CA
44728,90009,LOS ANGELES,CA
44729,90009,LOS ANGELES AFB,CA
44730,90009,LOS ANGLS AFB,CA
44731,90009,LOS ANGELES INTERNATIONAL AI,CA
44732,90010,LOS ANGELES,CA
44733,90010,SANFORD,CA
44734,90011,LOS ANGELES,CA
44735,90012,LOS ANGELES,CA
44736,90012,FEDERAL,CA
44737,90013,LOS ANGELES,CA
44738,90013,FEDERAL,CA
44739,90014,LOS ANGELES,CA
44740,90015,LOS ANGELES,CA
44741,90015,DEL VALLE FINANCE,CA
44742,90015,DOWTOWN CARRIER ANNEX,CA
44743,90015,TEXTILE FINANCE,CA
44744,90016,LOS ANGELES,CA
44745,90016,WEST ADAMS,CA
44746,90017,LOS ANGELES,CA
44747,90017,FOY,CA
44748,90018,LOS ANGELES,CA
44749,90018,CIMARRON,CA
44750,90018,DOCKWEILER,CA
44751,90019,LOS ANGELES,CA
44752,90019,RIMPAU,CA
44753,90020,LOS ANGELES,CA
44754,90020,SANFORD,CA
44755,90021,LOS ANGELES,CA
44756,90021,MARKET,CA
44757,90022,LOS ANGELES,CA
44758,90022,COMMERCE,CA
44759,90022,EAST LOS ANGELES,CA
44760,90022,EST LS ANGLS,CA
44761,90023,LOS ANGELES,CA
44762,90023,COMMERCE,CA
44763,90023,LUGO,CA
44764,90024,LOS ANGELES,CA
44765,90024,VILLAGE,CA
44766,90025,LOS ANGELES,CA
44767,90025,W LOS ANGELES,CA
44768,90025,WEST LOS ANGELES,CA
44769,90025,WLA,CA
44770,90026,LOS ANGELES,CA
44771,90026,ECHO PARK,CA
44772,90026,EDENDALE,CA
44773,90026,SILVER LAKE,CA
44774,90027,LOS ANGELES,CA
44775,90027,HOLLYWOOD,CA
44776,90027,LOS FELIZ,CA
