id	rate
1001	.097
1003	.091
1005	.134
1007	.121
1009	.099
1011	.164
1013	.167
1015	.108
1017	.186
1019	.118
1021	.099
1023	.127
1025	.17
1027	.159
1029	.104
1031	.085
1033	.114
1035	.195
1037	.14
1039	.101
1041	.097
1043	.096
1045	.093
1047	.211
1049	.143
1051	.09
1053	.129
1055	.107
1057	.128
1059	.123
1061	.1
1063	.147
1065	.127
1067	.099
1069	.089
1071	.118
1073	.107
1075	.148
1077	.105
1079	.136
1081	.086
1083	.093
1085	.185
1087	.114
1089	.075
1091	.148
1093	.152
1095	.092
1097	.111
1099	.187
1101	.102
1103	.104
1105	.198
1107	.13
1109	.087
1111	.151
1113	.126
1115	.107
1117	.076
1119	.139
1121	.136
1123	.137
1125	.09
1127	.119
1129	.151
1131	.256
1133	.175
2013	.101
2016	.084
2020	.07
2050	.148
2060	.036
2068	.034
2070	.084
2090	.069
2100	.062
2110	.057
2122	.097
2130	.061
2150	.066
2164	.059
2170	.088
2180	.121
2185	.057
2188	.132
2201	.136
2220	.059
2232	.073
2240	.081
2261	.064
2270	.204
2280	.098
2282	.063
2290	.136
4001	.148
4003	.074
4005	.077
4007	.109
4009	.144
4011	.215
4012	.089
4013	.085
4015	.102
4017	.142
4019	.084
4021	.118
4023	.172
4025	.095
4027	.242
5001	.143
5003	.091
5005	.082
5007	.053
5009	.064
5011	.078
5013	.062
5015	.043
5017	.096
5019	.063
5021	.104
5023	.059
5025	.06
5027	.081
5029	.065
5031	.059
5033	.066
5035	.099
5037	.071
5039	.076
5041	.099
5043	.091
5045	.06
5047	.059
5049	.061
5051	.066
5053	.057
5055	.082
5057	.086
5059	.073
5061	.072
5063	.078
5065	.077
5067	.092
5069	.092
5071	.061
5073	.086
5075	.079
5077	.082
5079	.082
5081	.056
5083	.077
5085	.052
5087	.053
5089	.112
5091	.045
5093	.113
5095	.074
5097	.058
5099	.087
5101	.062
5103	.071
5105	.056
5107	.088
5109	.063
5111	.075
5113	.064
5115	.062
5117	.067
5119	.06
5121	.073
5123	.094
5125	.058
5127	.063
5129	.059
5131	.062
5133	.051
5135	.078
5137	.066
5139	.095
5141	.091
5143	.05
5145	.067
5147	.091
5149	.064
6001	.113
6003	.152
6005	.121
6007	.122
6009	.143
6011	.145
6013	.112
6015	.119
6017	.112
6019	.141
6021	.138
6023	.103
6025	.301
6027	.095
6029	.139
6031	.139
6033	.147
6035	.118
6037	.127
6039	.123
6041	.08
6043	.088
6045	.101
6047	.157
6049	.111
6051	.103
6053	.1
6055	.087
6057	.109
6059	.094
6061	.113
6063	.139
6065	.147
6067	.122
6069	.125
6071	.136
6073	.102
6075	.097
6077	.155
6079	.09
6081	.09
6083	.085
6085	.118
6087	.102
6089	.147
6091	.137
6093	.135
6095	.115
6097	.099
6099	.153
6101	.151
6103	.137
6105	.159
6107	.149
6109	.127
6111	.11
6113	.109
6115	.178
8001	.081
8003	.055
8005	.069
8007	.062
8009	.034
8011	.05
8013	.055
8014	.066
8015	.051
8017	.02
8019	.07
8021	.051
8023	.084
8025	.076
8027	.052
8029	.066
8031	.077
8033	.132
8035	.059
8037	.062
8039	.06
8041	.072
8043	.077
8045	.058
8047	.06
8049	.058
8051	.044
8053	.022
8055	.072
8057	.033
8059	.067
8061	.028
8063	.029
8065	.071
8067	.047
8069	.056
8071	.07
8073	.037
8075	.046
8077	.082
8079	.053
8081	.056
8083	.063
8085	.069
8087	.049
8089	.058
8091	.041
8093	.061
8095	.026
8097	.05
8099	.05
8101	.075
8103	.039
8105	.048
8107	.06
8109	.078
8111	.053
8113	.042
8115	.033
8117	.058
8119	.067
8121	.032
8123	.075
8125	.026
9001	.078
9003	.088
9005	.079
9007	.067
9009	.089
9011	.076
9013	.067
9015	.09
10001	.079
10003	.086
10005	.073
11001	.117
12001	.071
12003	.114
12005	.089
12007	.083
12009	.111
12011	.098
12013	.082
12015	.127
12017	.121
12019	.098
12021	.131
12023	.09
12027	.117
12029	.123
12031	.112
12033	.098
12035	.162
12037	.071
12039	.096
12041	.1
12043	.1
12045	.098
12047	.113
12049	.126
12051	.168
12053	.138
12055	.116
12057	.115
12059	.072
12061	.152
12063	.072
12065	.085
12067	.072
12069	.123
12071	.139
12073	.072
12075	.121
12077	.053
12079	.117
12081	.127
12083	.133
12085	.119
12086	.113
12087	.07
12089	.107
12091	.072
12093	.133
12095	.114
12097	.128
12099	.117
12101	.125
12103	.112
12105	.127
12107	.122
12109	.09
12111	.153
12113	.094
12115	.123
12117	.106
12119	.09
12121	.098
12123	.104
12125	.084
12127	.117
12129	.072
12131	.068
12133	.096
13001	.097
13003	.126
13005	.085
13007	.091
13009	.116
13011	.067
13013	.111
13015	.133
13017	.153
13019	.124
13021	.1
13023	.097
13025	.116
13027	.087
13029	.081
13031	.09
13033	.122
13035	.127
13037	.111
13039	.091
13043	.093
13045	.108
13047	.08
13049	.106
13051	.085
13053	.146
13055	.114
13057	.095
13059	.07
13061	.082
13063	.123
13065	.11
13067	.096
13069	.168
13071	.09
13073	.07
13075	.119
13077	.1
13079	.095
13081	.121
13083	.09
13085	.101
13087	.127
13089	.107
13091	.112
